,CoachName,PlayerAge,GradeBefore,GradeAfter,year
0,Tomasz Wiktorowski,22,1,8,7
1,Tomasz Wiktorowski,18,11,11,1
5,Anton Dubrov,22,1,1,1
7,Dmitry Tursunov,31,2,11,1
9,Dmitry Tursunov,26,1,2,1
10,Dmitry Tursunov,21,8,8,1
11,Dmitry Tursunov,25,2,2,1
12,Dmitry Tursunov,26,2,2,1
14,Khalil Ibrahimov,18,11,2,2
18,Brad Gilbert,24,1,1,8
19,Brad Gilbert,21,1,1,1
20,Brad Gilbert,19,2,2,1
22,Brad Gilbert,21,10,4,1
26,David Witt,27,1,4,11
30,Michael Joyce,28,12,12,1
31,Michael Joyce,27,4,4,1
32,Michael Joyce,24,9,9,1
33,Michael Joyce,26,11,11,1
36,Bertrand Perret,24,7,4,2
39,Zdeněk Kubík,18,14,14,1
41,Tom Hill,24,11,4,1
42,Tom Hill,23,5,1,2
44,Thomas Johansson,22,6,5,1
45,Thomas Johansson,26,10,4,1
46,Thomas Johansson,26,2,2,4
47,Thomas Johansson,32,4,3,1
49,David Kotyza,18,5,2,8
50,David Kotyza,26,2,2,1
51,David Kotyza,24,1,1,1
52,David Kotyza,24,3,11,2
54,Stas Khmarsky,15,6,12,5
55,Stas Khmarsky,24,3,2,1
58,Philippe Dehaes,21,10,11,2
61,Vladimír Pláteník,18,6,3,2
62,Vladimír Pláteník,18,8,3,2
63,Vladimír Pláteník,21,4,4,1
65,Pere Riba,19,11,2,2
66,Pere Riba,19,1,1,1
69,Adam Peterson,26,2,4,6
70,Adam Peterson,23,5,5,1
71,Adam Peterson,17,15,14,1
72,Adam Peterson,18,4,2,2
74,Sergey Demekhine,26,1,1,1
77,Jiří Vaněk,22,3,1,2
78,Jiří Vaněk,27,3,2,6
80,František Čermák,26,2,2,1
83,Gabriel Urpí,23,1,2,4
86,Wim Fissette,26,2,2,2
87,Wim Fissette,24,2,3,1
88,Wim Fissette,23,1,1,1
89,Wim Fissette,26,3,2,1
90,Wim Fissette,26,1,1,1
91,Wim Fissette,30,1,1,1
94,Dorian Descloix,31,2,3,1
95,Dorian Descloix,29,11,11,1
96,Dorian Descloix,20,3,11,3
98,Sam Sumyk,23,3,1,2
99,Sam Sumyk,16,1,3,5
100,Sam Sumyk,21,5,5,1
101,Sam Sumyk,22,1,4,4
102,Sam Sumyk,28,3,3,1
103,Sam Sumyk,24,4,7,2
105,Raemon Sluiter,24,11,1,4
106,Raemon Sluiter,25,7,10,1
109,Andis Juška,27,2,12,1
110,Andis Juška,21,3,13,1
112,Nikola Horvat,17,13,11,2
113,Nikola Horvat,18,11,15,1
114,Nikola Horvat,22,1,4,2
115,Nikola Horvat,20,5,5,1
116,Nikola Horvat,20,11,6,1
118,Conchita Martinez,24,1,1,1
120,Conchita Martinez,26,1,1,1
124,Sascha Bajin,20,7,1,2
125,Sascha Bajin,26,4,4,1
126,Sascha Bajin,19,3,3,1
127,Sascha Bajin,28,1,4,3
131,Michael Geserer,27,5,3,4
132,Michael Geserer,24,6,3,2
133,Michael Geserer,30,6,4,2
135,Kamau Murray,22,3,3,4
136,Kamau Murray,26,8,8,1
137,Kamau Murray,26,3,7,2
140,Thomas Högstedt,23,2,1,3
141,Thomas Högstedt,21,4,4,1
142,Thomas Högstedt,24,1,1,1
143,Thomas Högstedt,24,1,1,1
144,Thomas Högstedt,21,5,5,1
145,Thomas Högstedt,21,1,1,1
146,Thomas Högstedt,22,5,9,1
147,Thomas Högstedt,30,6,11,2
148,Thomas Högstedt,29,2,2,1
149,Thomas Högstedt,23,5,5,1
154,Guillermo Cañas,32,11,11,1
155,Guillermo Cañas,28,5,7,1
